sample,10000,length,5218                                                                          
Time(ns),Vol(V)
00000000.000000,-0.003158
00100000.000000,-0.002543
00200000.000000,-0.003158
00300000.000000,-0.002543
00400000.000000,-0.001928
00500000.000000,-0.003158
00600000.000000,-0.002543
00700000.000000,-0.001928
00800000.000000,-0.003158
00900000.000000,-0.002543
01000000.000000,-0.002543
01100000.000000,-0.002543
01200000.000000,-0.002543
01300000.000000,-0.001928
01400000.000000,-0.002543
01500000.000000,-0.002543
01600000.000000,-0.001928
01700000.000000,-0.002543
01800000.000000,-0.002543
01900000.000000,-0.002543
02000000.000000,-0.002543
02100000.000000,-0.002543
02200000.000000,-0.002543
02300000.000000,-0.002543
02400000.000000,-0.002543
02500000.000000,-0.002543
02600000.000000,-0.003158
02700000.000000,-0.003158
02800000.000000,-0.001928
02900000.000000,-0.002543
03000000.000000,-0.003158
03100000.000000,-0.002543
03200000.000000,-0.002543
03300000.000000,-0.003158
03400000.000000,-0.002543
03500000.000000,-0.001928
03600000.000000,-0.002543
03700000.000000,-0.002543
03800000.000000,-0.002543
03900000.000000,-0.002543
04000000.000000,-0.003158
04100000.000000,-0.002543
04200000.000000,-0.003158
04300000.000000,-0.002543
04400000.000000,-0.002543
04500000.000000,-0.002543
04600000.000000,-0.002543
04700000.000000,-0.002543
04800000.000000,-0.003158
04900000.000000,-0.002543
05000000.000000,-0.002543
05100000.000000,-0.002543
05200000.000000,-0.003158
05300000.000000,-0.003158
05400000.000000,-0.002543
05500000.000000,-0.002543
05600000.000000,-0.002543
05700000.000000,-0.002543
05800000.000000,-0.003158
05900000.000000,-0.002543
06000000.000000,-0.002543
06100000.000000,-0.003158
06200000.000000,-0.002543
06300000.000000,-0.002543
06400000.000000,-0.003158
06500000.000000,-0.001928
06600000.000000,-0.002543
06700000.000000,-0.002543
06800000.000000,-0.002543
06900000.000000,-0.002543
07000000.000000,-0.002543
07100000.000000,-0.002543
07200000.000000,-0.001928
07300000.000000,-0.002543
07400000.000000,-0.002543
07500000.000000,-0.001928
07600000.000000,-0.003158
07700000.000000,-0.002543
07800000.000000,-0.002543
07900000.000000,-0.002543
08000000.000000,-0.002543
08100000.000000,-0.002543
08200000.000000,-0.002543
08300000.000000,-0.002543
08400000.000000,-0.002543
08500000.000000,-0.003158
08600000.000000,-0.002543
08700000.000000,-0.002543
08800000.000000,-0.003158
08900000.000000,-0.003158
09000000.000000,-0.001928
09100000.000000,-0.002543
09200000.000000,-0.003158
09300000.000000,-0.002543
09400000.000000,-0.002543
09500000.000000,-0.002543
09600000.000000,-0.002543
09700000.000000,-0.002543
09800000.000000,-0.003158
09900000.000000,-0.002543
10000000.000000,-0.002543
10100000.000000,-0.003158
10200000.000000,-0.002543
10300000.000000,-0.003158
10400000.000000,-0.002543
10500000.000000,-0.002543
10600000.000000,-0.002543
10700000.000000,-0.002543
10800000.000000,-0.002543
10900000.000000,-0.002543
11000000.000000,-0.002543
11100000.000000,-0.002543
11200000.000000,-0.002543
11300000.000000,-0.002543
11400000.000000,-0.002543
11500000.000000,-0.003158
11600000.000000,-0.002543
11700000.000000,-0.003158
11800000.000000,-0.002543
11900000.000000,-0.002543
12000000.000000,-0.003158
12100000.000000,-0.002543
12200000.000000,-0.002543
12300000.000000,-0.003158
12400000.000000,-0.002543
12500000.000000,-0.002543
12600000.000000,-0.003158
12700000.000000,-0.002543
12800000.000000,-0.002543
12900000.000000,-0.003158
13000000.000000,-0.002543
13100000.000000,-0.002543
13200000.000000,-0.003158
13300000.000000,-0.002543
13400000.000000,-0.002543
13500000.000000,-0.002543
13600000.000000,-0.002543
13700000.000000,-0.002543
13800000.000000,-0.003158
13900000.000000,-0.002543
14000000.000000,-0.002543
14100000.000000,-0.003158
14200000.000000,-0.002543
14300000.000000,-0.002543
14400000.000000,-0.002543
14500000.000000,-0.003158
14600000.000000,-0.002543
14700000.000000,-0.003158
14800000.000000,-0.003158
14900000.000000,-0.002543
15000000.000000,-0.002543
15100000.000000,-0.002543
15200000.000000,-0.002543
15300000.000000,-0.002543
15400000.000000,-0.002543
15500000.000000,-0.002543
15600000.000000,-0.002543
15700000.000000,-0.002543
15800000.000000,-0.002543
15900000.000000,-0.002543
16000000.000000,-0.002543
16100000.000000,-0.003158
16200000.000000,-0.002543
16300000.000000,-0.003158
16400000.000000,-0.002543
16500000.000000,-0.002543
16600000.000000,-0.002543
16700000.000000,-0.002543
16800000.000000,-0.002543
16900000.000000,-0.002543
17000000.000000,-0.002543
17100000.000000,-0.002543
17200000.000000,-0.002543
17300000.000000,-0.002543
17400000.000000,-0.002543
17500000.000000,-0.002543
17600000.000000,-0.003158
17700000.000000,-0.001928
17800000.000000,-0.002543
17900000.000000,-0.002543
18000000.000000,-0.002543
18100000.000000,-0.002543
18200000.000000,-0.003158
18300000.000000,-0.002543
18400000.000000,-0.002543
18500000.000000,-0.003158
18600000.000000,-0.002543
18700000.000000,-0.002543
18800000.000000,-0.002543
18900000.000000,-0.003158
19000000.000000,-0.003158
19100000.000000,-0.003158
19200000.000000,-0.002543
19300000.000000,-0.002543
19400000.000000,-0.003158
19500000.000000,-0.002543
19600000.000000,-0.002543
19700000.000000,-0.002543
19800000.000000,-0.002543
19900000.000000,-0.002543
20000000.000000,-0.003158
20100000.000000,-0.002543
20200000.000000,-0.002543
20300000.000000,-0.002543
20400000.000000,-0.002543
20500000.000000,-0.002543
20600000.000000,-0.002543
20700000.000000,-0.002543
20800000.000000,-0.001928
20900000.000000,-0.002543
21000000.000000,-0.002543
21100000.000000,-0.002543
21200000.000000,-0.002543
21300000.000000,-0.002543
21400000.000000,-0.002543
21500000.000000,-0.002543
21600000.000000,-0.002543
21700000.000000,-0.002543
21800000.000000,-0.002543
21900000.000000,-0.002543
22000000.000000,-0.002543
22100000.000000,-0.002543
22200000.000000,-0.003158
22300000.000000,-0.001928
22400000.000000,-0.003158
22500000.000000,-0.002543
22600000.000000,-0.003158
22700000.000000,-0.002543
22800000.000000,-0.002543
22900000.000000,-0.002543
23000000.000000,-0.002543
23100000.000000,-0.002543
23200000.000000,-0.002543
23300000.000000,-0.002543
23400000.000000,-0.002543
23500000.000000,-0.003158
23600000.000000,-0.002543
23700000.000000,-0.002543
23800000.000000,-0.003158
23900000.000000,-0.002543
24000000.000000,-0.002543
24100000.000000,-0.002543
24200000.000000,-0.002543
24300000.000000,-0.002543
24400000.000000,-0.003158
24500000.000000,-0.002543
24600000.000000,-0.002543
24700000.000000,-0.002543
24800000.000000,-0.002543
24900000.000000,-0.002543
25000000.000000,-0.002543
25100000.000000,-0.002543
25200000.000000,-0.002543
25300000.000000,-0.003158
25400000.000000,-0.002543
25500000.000000,-0.002543
25600000.000000,-0.003158
25700000.000000,-0.002543
25800000.000000,-0.002543
25900000.000000,-0.002543
26000000.000000,-0.003158
26100000.000000,-0.002543
26200000.000000,-0.002543
26300000.000000,-0.002543
26400000.000000,-0.002543
26500000.000000,-0.002543
26600000.000000,-0.002543
26700000.000000,-0.002543
26800000.000000,-0.002543
26900000.000000,-0.002543
27000000.000000,-0.002543
27100000.000000,-0.002543
27200000.000000,-0.003158
27300000.000000,-0.002543
27400000.000000,-0.002543
27500000.000000,-0.002543
27600000.000000,-0.002543
27700000.000000,-0.001928
27800000.000000,-0.002543
27900000.000000,-0.002543
28000000.000000,-0.003158
28100000.000000,-0.003158
28200000.000000,-0.002543
28300000.000000,-0.002543
28400000.000000,-0.002543
28500000.000000,-0.002543
28600000.000000,-0.003158
28700000.000000,-0.002543
28800000.000000,-0.003158
28900000.000000,-0.002543
29000000.000000,-0.002543
29100000.000000,-0.002543
29200000.000000,-0.002543
29300000.000000,-0.003158
29400000.000000,-0.002543
29500000.000000,-0.002543
29600000.000000,-0.002543
29700000.000000,-0.003158
29800000.000000,-0.002543
29900000.000000,-0.001928
30000000.000000,-0.003158
30100000.000000,-0.002543
